seed,condition,category,uid,epoch,accuracy
42,baseline_natural,island_effects,adjunct_island,10,0.892
42,baseline_natural,anaphor_agreement,anaphor_gender_agreement,10,0.905
42,baseline_natural,anaphor_agreement,anaphor_number_agreement,10,0.981
42,baseline_natural,argument_structure,animate_subject_passive,10,0.686
42,baseline_natural,argument_structure,animate_subject_trans,10,0.8627450980392157
42,baseline_natural,argument_structure,causative,10,0.7727272727272727
42,baseline_natural,island_effects,complex_NP_island,10,0.547
42,baseline_natural,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.419
42,baseline_natural,island_effects,coordinate_structure_constraint_object_extraction,10,0.7564102564102564
42,baseline_natural,subject_verb_agreement,distractor_agreement_relational_noun,10,0.5020408163265306
42,baseline_natural,subject_verb_agreement,distractor_agreement_relative_clause,10,0.4504950495049505
42,baseline_natural,argument_structure,drop_argument,10,0.6560196560196561
42,baseline_natural,ellipsis,ellipsis_n_bar_1,10,0.751
42,baseline_natural,ellipsis,ellipsis_n_bar_2,10,0.8511722731906218
42,baseline_natural,control_raising,existential_there_object_raising,10,0.7147270854788877
42,baseline_natural,control_raising,existential_there_subject_raising,10,0.7595212187159956
42,baseline_natural,control_raising,expletive_it_object_raising,10,0.7898832684824902
42,baseline_natural,argument_structure,inchoative,10,0.7176913425345044
42,baseline_natural,argument_structure,intransitive,10,0.7984189723320159
42,baseline_natural,irregular_forms,irregular_past_participle_adjectives,10,0.884
42,baseline_natural,irregular_forms,irregular_past_participle_verbs,10,0.906
42,baseline_natural,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.7009646302250804
42,baseline_natural,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.878
42,baseline_natural,island_effects,left_branch_island_echo_question,10,0.672
42,baseline_natural,island_effects,left_branch_island_simple_question,10,0.397
42,baseline_natural,npi_licensing,npi_present_1,10,0.321
42,baseline_natural,npi_licensing,npi_present_2,10,0.467
42,baseline_natural,npi_licensing,only_npi_licensor_present,10,0.742
42,baseline_natural,npi_licensing,only_npi_scope,10,0.438
42,baseline_natural,argument_structure,passive_1,10,0.7219132369299222
42,baseline_natural,argument_structure,passive_2,10,0.7699115044247787
42,baseline_natural,binding,principle_A_c_command,10,0.538
42,baseline_natural,binding,principle_A_case_1,10,1.0
42,baseline_natural,binding,principle_A_case_2,10,0.9236180904522613
42,baseline_natural,binding,principle_A_domain_1,10,0.99
42,baseline_natural,binding,principle_A_domain_2,10,0.738
42,baseline_natural,binding,principle_A_domain_3,10,0.58
42,baseline_natural,binding,principle_A_reconstruction,10,0.5125628140703518
42,baseline_natural,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.7836734693877551
42,baseline_natural,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,0.805
42,baseline_natural,npi_licensing,sentential_negation_npi_licensor_present,10,0.998
42,baseline_natural,npi_licensing,sentential_negation_npi_scope,10,0.281
42,baseline_natural,island_effects,sentential_subject_island,10,0.288
42,baseline_natural,control_raising,tough_vs_raising_1,10,0.5593784683684795
42,baseline_natural,control_raising,tough_vs_raising_2,10,0.7637614678899083
42,baseline_natural,argument_structure,transitive,10,0.7024793388429752
42,baseline_natural,island_effects,wh_island,10,0.617
42,baseline_natural,filler_gap,wh_questions_object_gap,10,0.4957983193277311
42,baseline_natural,filler_gap,wh_questions_subject_gap,10,0.7520661157024794
42,baseline_natural,filler_gap,wh_questions_subject_gap_long_distance,10,0.81
42,baseline_natural,filler_gap,wh_vs_that_no_gap,10,0.7007299270072993
42,baseline_natural,filler_gap,wh_vs_that_no_gap_long_distance,10,0.943
42,baseline_natural,filler_gap,wh_vs_that_with_gap,10,0.7934782608695652
42,baseline_natural,filler_gap,wh_vs_that_with_gap_long_distance,10,0.192
42,ablation_natural,argument_structure,drop_argument,10,0.6216216216216216
42,ablation_natural,ellipsis,ellipsis_n_bar_1,10,0.73
42,ablation_natural,ellipsis,ellipsis_n_bar_2,10,0.7665647298674821
42,ablation_natural,control_raising,existential_there_object_raising,10,0.6498455200823893
42,ablation_natural,control_raising,existential_there_subject_raising,10,0.6637649619151251
42,ablation_natural,control_raising,expletive_it_object_raising,10,0.754863813229572
42,ablation_natural,argument_structure,inchoative,10,0.7202007528230866
42,ablation_natural,argument_structure,intransitive,10,0.8023715415019763
42,ablation_natural,irregular_forms,irregular_past_participle_adjectives,10,0.702
42,ablation_natural,irregular_forms,irregular_past_participle_verbs,10,0.794
42,ablation_natural,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.662379421221865
42,ablation_natural,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.636
42,ablation_natural,island_effects,left_branch_island_echo_question,10,0.663
42,ablation_natural,island_effects,left_branch_island_simple_question,10,0.487
42,ablation_natural,npi_licensing,npi_present_1,10,0.316
42,ablation_natural,npi_licensing,npi_present_2,10,0.494
42,ablation_natural,npi_licensing,only_npi_licensor_present,10,0.743
42,ablation_natural,npi_licensing,only_npi_scope,10,0.2
42,ablation_natural,argument_structure,passive_1,10,0.5995550611790879
42,ablation_natural,argument_structure,passive_2,10,0.3407079646017699
42,ablation_natural,binding,principle_A_c_command,10,0.377
42,ablation_natural,binding,principle_A_case_1,10,0.877
42,ablation_natural,binding,principle_A_case_2,10,0.807035175879397
42,ablation_natural,binding,principle_A_domain_1,10,0.981
42,ablation_natural,binding,principle_A_domain_2,10,0.688
42,ablation_natural,binding,principle_A_domain_3,10,0.568
42,ablation_natural,binding,principle_A_reconstruction,10,0.15979899497487438
42,ablation_natural,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.6775510204081633
42,ablation_natural,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,0.619
42,ablation_natural,npi_licensing,sentential_negation_npi_licensor_present,10,0.742
42,ablation_natural,npi_licensing,sentential_negation_npi_scope,10,0.452
42,ablation_natural,island_effects,sentential_subject_island,10,0.356
42,ablation_natural,control_raising,tough_vs_raising_1,10,0.5926748057713651
42,ablation_natural,control_raising,tough_vs_raising_2,10,0.463302752293578
42,ablation_natural,argument_structure,transitive,10,0.5523415977961432
42,ablation_natural,island_effects,wh_island,10,0.515
42,ablation_natural,filler_gap,wh_questions_object_gap,10,0.24369747899159663
42,ablation_natural,filler_gap,wh_questions_subject_gap,10,0.33884297520661155
42,ablation_natural,filler_gap,wh_questions_subject_gap_long_distance,10,0.209
42,ablation_natural,filler_gap,wh_vs_that_no_gap,10,0.11678832116788321
42,ablation_natural,filler_gap,wh_vs_that_no_gap_long_distance,10,0.128
