condition,seed,category,uid,epoch,accuracy
natural_function,53,island_effects,adjunct_island,10,0.83
natural_function,53,anaphor_agreement,anaphor_gender_agreement,10,0.918
natural_function,53,anaphor_agreement,anaphor_number_agreement,10,0.974
natural_function,53,argument_structure,animate_subject_passive,10,0.724
natural_function,53,argument_structure,animate_subject_trans,10,0.8666666666666667
natural_function,53,argument_structure,causative,10,0.7572314049586777
natural_function,53,island_effects,complex_NP_island,10,0.556
natural_function,53,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.441
natural_function,53,island_effects,coordinate_structure_constraint_object_extraction,10,0.6474358974358975
natural_function,53,subject_verb_agreement,distractor_agreement_relational_noun,10,0.5306122448979592
natural_function,53,subject_verb_agreement,distractor_agreement_relative_clause,10,0.43564356435643564
natural_function,53,argument_structure,drop_argument,10,0.6388206388206388
natural_function,53,ellipsis,ellipsis_n_bar_1,10,0.75
natural_function,53,ellipsis,ellipsis_n_bar_2,10,0.8613659531090724
natural_function,53,control_raising,existential_there_object_raising,10,0.7621009268795057
natural_function,53,control_raising,existential_there_subject_raising,10,0.7714907508161044
natural_function,53,control_raising,expletive_it_object_raising,10,0.8365758754863813
natural_function,53,argument_structure,inchoative,10,0.7365119196988708
natural_function,53,argument_structure,intransitive,10,0.7984189723320159
natural_function,53,irregular_forms,irregular_past_participle_adjectives,10,0.94
natural_function,53,irregular_forms,irregular_past_participle_verbs,10,0.868
natural_function,53,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.6784565916398714
natural_function,53,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.864
natural_function,53,island_effects,left_branch_island_echo_question,10,0.675
natural_function,53,island_effects,left_branch_island_simple_question,10,0.447
natural_function,53,npi_licensing,npi_present_1,10,0.419
natural_function,53,npi_licensing,npi_present_2,10,0.516
natural_function,53,npi_licensing,only_npi_licensor_present,10,0.755
natural_function,53,npi_licensing,only_npi_scope,10,0.414
natural_function,53,argument_structure,passive_1,10,0.7208008898776418
natural_function,53,argument_structure,passive_2,10,0.754424778761062
natural_function,53,binding,principle_A_c_command,10,0.497
natural_function,53,binding,principle_A_case_1,10,1.0
natural_function,53,binding,principle_A_case_2,10,0.9206030150753769
natural_function,53,binding,principle_A_domain_1,10,0.993
natural_function,53,binding,principle_A_domain_2,10,0.704
natural_function,53,binding,principle_A_domain_3,10,0.601
natural_function,53,binding,principle_A_reconstruction,10,0.39798994974874374
natural_function,53,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.7693877551020408
natural_function,53,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,0.796
natural_function,53,npi_licensing,sentential_negation_npi_licensor_present,10,0.996
natural_function,53,npi_licensing,sentential_negation_npi_scope,10,0.357
natural_function,53,island_effects,sentential_subject_island,10,0.28
natural_function,53,control_raising,tough_vs_raising_1,10,0.5593784683684795
natural_function,53,control_raising,tough_vs_raising_2,10,0.7442660550458715
natural_function,53,argument_structure,transitive,10,0.6983471074380165
natural_function,53,island_effects,wh_island,10,0.553
natural_function,53,filler_gap,wh_questions_object_gap,10,0.47058823529411764
natural_function,53,filler_gap,wh_questions_subject_gap,10,0.6859504132231405
natural_function,53,filler_gap,wh_questions_subject_gap_long_distance,10,0.81
natural_function,53,filler_gap,wh_vs_that_no_gap,10,0.7007299270072993
natural_function,53,filler_gap,wh_vs_that_no_gap_long_distance,10,0.945
natural_function,53,filler_gap,wh_vs_that_with_gap,10,0.717391304347826
natural_function,53,filler_gap,wh_vs_that_with_gap_long_distance,10,0.193
random_function,53,island_effects,adjunct_island,10,0.814
random_function,53,anaphor_agreement,anaphor_gender_agreement,10,0.936
random_function,53,anaphor_agreement,anaphor_number_agreement,10,0.968
random_function,53,argument_structure,animate_subject_passive,10,0.559
random_function,53,argument_structure,animate_subject_trans,10,0.8313725490196079
random_function,53,argument_structure,causative,10,0.71900826446281
random_function,53,island_effects,complex_NP_island,10,0.541
random_function,53,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.659
random_function,53,island_effects,coordinate_structure_constraint_object_extraction,10,0.4358974358974359
random_function,53,subject_verb_agreement,distractor_agreement_relational_noun,10,0.39183673469387753
random_function,53,subject_verb_agreement,distractor_agreement_relative_clause,10,0.34405940594059403
random_function,53,argument_structure,drop_argument,10,0.5921375921375921
random_function,53,ellipsis,ellipsis_n_bar_1,10,0.682
random_function,53,ellipsis,ellipsis_n_bar_2,10,0.8256880733944955
random_function,53,control_raising,existential_there_object_raising,10,0.6920700308959835
random_function,53,control_raising,existential_there_subject_raising,10,0.7040261153427638
random_function,53,control_raising,expletive_it_object_raising,10,0.7587548638132295
random_function,53,argument_structure,inchoative,10,0.6976160602258469
random_function,53,argument_structure,intransitive,10,0.7154150197628458
random_function,53,irregular_forms,irregular_past_participle_adjectives,10,0.884
random_function,53,irregular_forms,irregular_past_participle_verbs,10,0.854
random_function,53,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.6366559485530546
random_function,53,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.642
random_function,53,island_effects,left_branch_island_echo_question,10,0.628
random_function,53,island_effects,left_branch_island_simple_question,10,0.473
random_function,53,npi_licensing,npi_present_1,10,0.36
random_function,53,npi_licensing,npi_present_2,10,0.478
random_function,53,npi_licensing,only_npi_licensor_present,10,0.54
random_function,53,npi_licensing,only_npi_scope,10,0.486
random_function,53,argument_structure,passive_1,10,0.5083426028921023
random_function,53,argument_structure,passive_2,10,0.5464601769911505
random_function,53,binding,principle_A_c_command,10,0.386
random_function,53,binding,principle_A_case_1,10,0.994
random_function,53,binding,principle_A_case_2,10,0.7447236180904523
random_function,53,binding,principle_A_domain_1,10,0.985
random_function,53,binding,principle_A_domain_2,10,0.708
random_function,53,binding,principle_A_domain_3,10,0.613
random_function,53,binding,principle_A_reconstruction,10,0.2723618090452261
random_function,53,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.7714285714285715
random_function,53,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,0.58
random_function,53,npi_licensing,sentential_negation_npi_licensor_present,10,0.991
random_function,53,npi_licensing,sentential_negation_npi_scope,10,0.3
random_function,53,island_effects,sentential_subject_island,10,0.264
random_function,53,control_raising,tough_vs_raising_1,10,0.4794672586015538
random_function,53,control_raising,tough_vs_raising_2,10,0.6272935779816514
random_function,53,argument_structure,transitive,10,0.6267217630853994
random_function,53,island_effects,wh_island,10,0.362
random_function,53,filler_gap,wh_questions_object_gap,10,0.3865546218487395
random_function,53,filler_gap,wh_questions_subject_gap,10,0.71900826446281
random_function,53,filler_gap,wh_questions_subject_gap_long_distance,10,0.781
random_function,53,filler_gap,wh_vs_that_no_gap,10,0.6642335766423357
random_function,53,filler_gap,wh_vs_that_no_gap_long_distance,10,0.756
random_function,53,filler_gap,wh_vs_that_with_gap,10,0.6086956521739131
random_function,53,filler_gap,wh_vs_that_with_gap_long_distance,10,0.377
five_function,53,island_effects,adjunct_island,10,0.829
five_function,53,anaphor_agreement,anaphor_gender_agreement,10,0.903
five_function,53,anaphor_agreement,anaphor_number_agreement,10,0.981
five_function,53,argument_structure,animate_subject_passive,10,0.588
five_function,53,argument_structure,animate_subject_trans,10,0.9019607843137255
five_function,53,argument_structure,causative,10,0.7510330578512396
five_function,53,island_effects,complex_NP_island,10,0.631
five_function,53,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.563
five_function,53,island_effects,coordinate_structure_constraint_object_extraction,10,0.717948717948718
five_function,53,subject_verb_agreement,distractor_agreement_relational_noun,10,0.49387755102040815
five_function,53,subject_verb_agreement,distractor_agreement_relative_clause,10,0.3811881188118812
five_function,53,argument_structure,drop_argument,10,0.6584766584766585
five_function,53,ellipsis,ellipsis_n_bar_1,10,0.666
five_function,53,ellipsis,ellipsis_n_bar_2,10,0.8307849133537207
five_function,53,control_raising,existential_there_object_raising,10,0.698249227600412
five_function,53,control_raising,existential_there_subject_raising,10,0.7301414581066377
five_function,53,control_raising,expletive_it_object_raising,10,0.8132295719844358
five_function,53,argument_structure,inchoative,10,0.7063989962358845
five_function,53,argument_structure,intransitive,10,0.758893280632411
five_function,53,irregular_forms,irregular_past_participle_adjectives,10,0.923
five_function,53,irregular_forms,irregular_past_participle_verbs,10,0.893
five_function,53,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.6334405144694534
